KOM;Danmark;Vestlige;Ikke_vestlige
København;530966;79819;51581
Frederiksberg;91030;9103;5336
Dragør;13538;528;438
Tårnby;39588;1918;2371
Albertslund;22966;1484;3183
Ballerup;44753;2332;4534
Brøndby;30778;3267;5355
Gentofte;65519;5104;4378
Gladsaxe;58936;4475;7270
Glostrup;20074;1431;2161
Herlev;26005;1269;2763
Hvidovre;46883;2708;4194
Høje-Taastrup;43935;6291;7715
Ishøj;17465;2247;4015
Lyngby-Taarbæk;50244;4053;4296
Rødovre;37339;2862;4311
Vallensbæk;14294;1544;2046
Allerød;24065;827;1085
Egedal;42046;1522;1988
Fredensborg;36574;2724;2697
Frederikssund;43235;1459;1951
Furesø;37760;2181;2500
Gribskov;38655;1704;1458
Halsnæs;28453;1711;1440
Helsingør;58489;2511;2888
Hillerød;48920;2712;2880
Hørsholm;22709;987;1135
Rudersdal;51805;2512;2976
Bornholm;36222;1654;1353
Greve;46363;2803;3144
Køge;56768;2692;3424
Lejre;27387;1082;936
Roskilde;83877;3066;4176
Solrød;22676;863;1056
Faxe;34231;2124;1342
Guldborgsund;55386;1875;2355
Holbæk;68539;2335;3317
Kalundborg;44944;1397;1980
Lolland;36202;1500;1896
Næstved;78663;2590;3530
Odsherred;30481;975;1045
Ringsted;31942;2233;2130
Slagelse;73454;2298;4385
Sorø;28717;876;980
Stevns;21937;961;741
Vordingborg;41762;1981;1850
Assens;37548;1908;1203
Faaborg-Midtfyn;48683;1908;1680
Kerteminde;22093;883;927
Langeland;11186;624;366
Middelfart;37691;1126;1414
Nordfyns;27061;1396;1095
Nyborg;30161;780;1237
Odense;188745;9066;11572
Svendborg;56332;1263;2179
Ærø;5342;472;133
Billund;22989;2539;1636
Esbjerg;105206;4690;5423
Fanø;3099;171;73
Fredericia;47442;2073;2958
Haderslev;49441;3242;2628
Kolding;85554;4191;5318
Sønderborg;64593;5401;4082
Tønder;31820;3096;1730
Varde;44446;3168;2120
Vejen;38046;2716;2130
Vejle;107754;7118;7004
Aabenraa;50453;5690;2530
Favrskov;45729;1897;1622
Hedensted;43599;2553;1508
Horsens;85060;6996;5310
Norddjurs;33624;1681;1437
Odder;22333;748;836
Randers;92517;3401;4249
Samsø;3345;254;96
Silkeborg;93692;3298;3984
Skanderborg;61663;1529;2075
Syddjurs;41231;1656;1172
Aarhus;328176;19193;20297
Herning;81111;4167;4752
Holstebro;54549;1878;2602
Ikast-Brande;37079;2695;3011
Lemvig;17334;917;810
Ringkøbing-Skjern;49483;3927;2670
Skive;41570;1405;1698
Struer;18577;1022;896
Viborg;89555;3628;4410
Brønderslev;34135;1002;1458
Frederikshavn;53396;2771;2163
Hjørring;58951;2156;2463
Jammerbugt;35902;1076;1181
Læsø;1653;77;21
Mariagerfjord;38573;1387;1803
Morsø;18437;499;713
Rebild;29215;690;1034
Thisted;39404;1827;1718
Vesthimmerlands;32567;1669;1708
Aalborg;205411;7547;10224