Country;2010;2018
Bangladesh;634;2014
Kuwait;1842;2314
Jordan;2029;2329
Congo, DR;729;2389
Egypt;2014;2500
Myanmar;1417;2513
Ghana;1908;2752
Kosovo;660;3004
Brazil;2555;3888
Nepal;1387;4682
Macedonia;3714;5392
Latvia;2691;5666
Hungary;2687;5758
Eritrea;343;5887
Russia;5039;7375
Morocco;9831;11321
Ukraine;6525;11654
Sri Lanka;10803;11804
Philippines;9307;12327
Thailand;9411;12524
India;6382;12658
China;9688;14015
Yugoslavia;16959;14912
Vietnam;13878;15411
Afghanistan;12630;18511
Iran;15209;21013
Somalia;16831;21210
Bosnia Herz.;22221;23137
Pakistan;20392;25244
Lebanon;23775;26766
Iraq;29264;32494
Syria;3707;40978
Turkey;59216;63352